timestamp_utc,event
"2026-08-13T19:26:11Z","capture stack initialization"
"2026-08-13T19:29:04Z","capture stack ready; gateway, bishop, goddess and reference paysys connected"
"2026-08-13T20:06:28Z","open client"
"2026-08-13T20:09:03Z","submit login: test_account"
"2026-08-13T20:09:37Z","submit login (reported by user; timestamp recorded after action)"
"2026-08-13T20:10:30Z","submit login retry (reported by user; timestamp recorded after action)"
"2026-08-13T20:20:13Z","login succeeded (reported by user; timestamp recorded after action)"
"2026-08-13T20:22:43Z","create character GameMaster (reported by user; timestamp recorded after action)"
"2026-08-13T20:23:59Z","enter game failed (reported by user; timestamp recorded after action)"
"2026-08-13T20:33:52Z","enter game retry failed (reported by user; timestamp recorded after action)"
"2026-08-13T20:41:00Z","enter game failed after s3relay_y started (reported by user; timestamp recorded after action)"
"2026-08-13T21:02:54Z","enter game connection error after jx_linux_y startup (reported by user; timestamp recorded after action)"
"2026-08-13T21:04:46Z","enter game rejected: server full or maintenance (reported by user; timestamp recorded after action)"
"2026-08-13T21:06:21Z","enter game still rejected after GameServer registration (reported by user; timestamp recorded after action)"
"2026-08-13T21:11:11Z","enter game still rejected after ServerCount=1 (reported by user; timestamp recorded after action)"
"2026-08-13T21:14:43Z","enter game hangs then errors after restoring IntranetIp (reported by user; timestamp recorded after action)"
"2026-08-13T21:23:20Z","enter game still errors with advertised 10.211.55.2 (reported by user; timestamp recorded after action)"
"2026-08-13T21:28:52Z","enter game successful (reported by user; timestamp recorded after action)"
"2026-08-13T21:34:49Z","click Xa Phu: no response (reported by user; timestamp recorded after action)"
"2026-08-14T04:11:41Z","repeated clicks Xa Phu: dialog still not shown"
"2026-08-14T04:14:34Z","sent normal chat and world chat (reported by user; timestamp recorded after actions)"
"2026-08-14T04:38:39Z","after autoexec guards: no task list and Xa Phu dialog still absent"
"2026-08-14T04:55:27Z","new character clicked Xa Phu: no response"
"2026-08-14T04:59:02Z","clicked Xa Phu after debug instrumentation: no response"
"2026-08-14T05:01:24Z","clicked Xa Phu 2-3 times after WriteLog instrumentation"
"2026-08-14T05:07:31Z","Xa Phu travel succeeded: character changed map"
"2026-08-18T02:47:05Z","capture ready before PaySys group 1"
"2026-08-18T02:49:27Z","paysys: login nonexistent account"
"2026-08-18T02:50:14Z","paysys: nonexistent account action completed"
"2026-08-18T02:51:44Z","paysys: login valid account wrong password"
"2026-08-18T02:52:27Z","paysys: wrong password action completed"
"2026-08-18T02:53:08Z","paysys: login valid account wrong password"
"2026-08-18T02:54:07Z","paysys: valid account wrong password unexpectedly accepted"
"2026-08-18T02:56:24Z","paysys: login success stop at character list"
"2026-08-18T02:57:11Z","paysys: character-list waiting period completed"
"2026-08-18T02:57:47Z","paysys: select character and enter game"
"2026-08-18T02:58:37Z","paysys: character entered game successfully"
"2026-08-18T03:01:34Z","paysys: normal in-game exit"
"2026-08-18T03:02:09Z","paysys: normal in-game exit completed"
"2026-08-18T03:03:47Z","paysys: abrupt client disconnect while in game"
"2026-08-18T03:04:40Z","paysys: abrupt disconnect action completed"
"2026-08-18T03:06:08Z","paysys: reconnect after abrupt disconnect"
"2026-08-18T03:07:06Z","paysys: reconnect after abrupt disconnect succeeded"
"2026-08-18T03:08:22Z","paysys: duplicate login same account from second client"
"2026-08-18T03:09:03Z","paysys: duplicate login action completed"
"2026-08-18T03:12:02Z","gateway: duplicate login cancel kick"
"2026-08-18T03:12:48Z","gateway: duplicate login confirm kick"
"2026-08-18T03:14:31Z","gateway: duplicate cancel and confirm cases completed; confirm hangs"
"2026-08-18T03:29:53Z","duplicate login: popup shown before confirm; Bishop kick trace active"
"2026-08-18T03:30:43Z","duplicate login: confirm clicked once; waited 15 seconds"
"2026-08-18T03:35:43Z","duplicate login retest completed with Bishop and GameServer kick trace active"
